,field_1,Id,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Location,Latitude,Longitude,Origin,Associated Dis2,Dis Mag Value,Dis Mag Scale,River Basin,Start Year,Start Month,Start Day,Start Date,End Year,End Month,End Day,End Date,Total Deaths,No Homeless,Total Affected,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,cartodb_id,iso_2,name_0,gid_1,name_1,nl_name_1,gid_2,name_2,varname_2,nl_name_2,type_2,engtype_2,cc_2,hasc_2,bbox,centroid,area,area_ha,gid_0,LONGIT,LATIT\
935,1549,770,2002-0265-KEN,2002,265,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",0.355026574,34.29496188,Heavy rain,,0,Km2,"Mara, Tana, Sabaki",2002,4,26,26/04/2002,2002,5,28,28/05/2002,53,0,150008,2,,51334;51336;51339;51354;51355;51356;51362;51369;51371;51373;51374;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
936,1550,856,2003-0204-KEN,2003,204,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nyando, Kisumu, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province)",0.355026574,34.29496188,Heavy rains,Broken Dam/Burst bank,100,Km2,,2003,4,0,31/03/2003,2003,5,0,30/04/2003,40,0,60000,2,,51369;51371;51373;51374;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
937,1551,922,2004-0152-KEN,2004,152,,Natural,Hydrological,Flood,Flash flood,Kenya,KEN,Eastern Africa,"Nyando district (Nyanza province), Busia district (Western province)",0.355026574,34.29496188,Heavy rain,,8880,Km2,Nyando,2004,4,9,09/04/2004,2004,4,12,12/04/2004,4,0,2000,2,,51373;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
938,1552,1144,2006-0624-KEN,2006,624,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Garissa, Ijara, Wajir, Mandera districts (North Eastern province), Kilifi, Tana River, Kwale districts (Coast province), Moyale, Isiolo districts (Eastern province), Busia district (Western province), Turkana district (Rift Valley province), Kisumu district (Nyanza province)",0.355026574,34.29496188,Torrential rain,,0,Km2,,2006,10,23,23/10/2006,2006,12,19,19/12/2006,114,0,723000,2,,51340;51341;51346;51348;51357;51361;51362;51363;51364;51369;51392;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
939,1553,1546,2008-0518-KEN,2008,518,FL-2008-000217,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia district (Western province), Mandera, Garissa, Wajir districts (North Western province), Marakwet, Trans Nzoia districts (Rift Valley province), Tana River district (Coast province), Migori, Nyando districts (Nyanza province)",0.355026574,34.29496188,Heavy rains,,37960,Km2,Nzoia river,2008,11,10,10/11/2008,2008,11,25,25/11/2008,17,0,30770,2,,51346;51361;51363;51364;51385;51391;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
940,1554,1877,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",0.355026574,34.29496188,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
941,1555,1930,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",0.355026574,34.29496188,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
942,1556,2159,2015-0564-KEN,2015,564,FL-2015-000169,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Mt Elgon, Busia, Bungoma districts (Western province), Kirinyaga district (Central province), Kisumu district (Nyanza province), Tana River district (Coast province), Marsabit, Isiolo, Machakos districts (Eastern province), Mandera, Wajir districts (North Eastern province), Narok, Nandi North, Nandi South, Trans Nzoia districts (Rift Valley province)",0.355026574,34.29496188,Heavy rains,,103770,Km2,"Garissa, Tana, Nyando, Kilifi, Nzoia rivers",2015,12,1,01/12/2015,2016,1,6,06/01/2016,112,0,240799,2,,51334;51346;51348;51350;51352;51363;51364;51369;51388;51391;51395;51396;51400;68769;68770, Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
943,1557,2779,2021-0227-KEN,2021,227,,Natural,Hydrological,Flood,,Kenya,KEN,Eastern Africa,"Tana River, Busia, Kisumu, Garissa, Marsabit, Homa Bay, Migori counties",0.355026574,34.29496188,Long Rains season ,,0,Km2,Tana River basin,2021,4,7,07/04/2021,2021,4,30,30/04/2021,2,0,25958,2,,51346;51352;51361;51368;51369;51371;51396,Busia,20609,KEN,Kenya,KEN.4_1,Busia,,KEN.4.2_1,Butula,,,Constituency,Constituency,229,,"{""type"":""Polygon"",""coordinates"":[[[34.15935516,0.26496774],[34.15935516,0.42994082],[34.42252731,0.42994082],[34.42252731,0.26496774],[34.15935516,0.26496774]]]}","{""type"":""Point"",""coordinates"":[34.2949618772753,0.355026574170805]}",245400305.7,24374.81929,KEN,34.29496188,0.355026574
1172,2117,867,2003-0729-KEN,2003,729,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,Kisumu district (Nyanza province),-0.111715421,34.74104125,Heavy rains,,390,Km2,Auji,2003,1,4,04/01/2003,2003,1,6,06/01/2003,0,0,300,2,,51369,Kisumu (Adm2). ,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1173,2118,807,2002-0265-KEN,2002,265,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Migori, Kisumu, Nyando, Rachuonyo districts (Nyanza province), Kirinyaga, Muranga, Thika districts (Central province), Busia districts (Western province), Ijara district (North Eastern province)",-0.111715421,34.74104125,Heavy rain,,0,Km2,"Mara, Tana, Sabaki",2002,4,26,26/04/2002,2002,5,28,28/05/2002,53,0,150008,2,,51334;51336;51339;51354;51355;51356;51362;51369;51371;51373;51374;51396, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1174,2119,868,2003-0204-KEN,2003,204,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nyando, Kisumu, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province)",-0.111715421,34.74104125,Heavy rains,Broken Dam/Burst bank,100,Km2,,2003,4,0,31/03/2003,2003,5,0,30/04/2003,40,0,60000,2,,51369;51371;51373;51374;51396, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1175,2120,932,2004-0194-KEN,2004,194,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Nairobi district (Nairobi province), Tana River, Taita Taveta districts (Coast province), Nakuru, Baringo, Turkana, Marakwet districts (Rift Valley province), Machakos district (Eastern province), Nyamira, Nyando, Rachuonyo, Kisumu, Migori, Homa Bay districts (Nyanza province) ",-0.111715421,34.74104125,Heavy rains,,268300,Km2,"Nyando, Mahenya, Sondu-Miriu, Sio, Awach, Ombeyi, Migori and Kuja, Tonde, Chemoron, Endao, Miriu, Athi, Nzoia, Thirikwa, Ndarugu, Thiriku, Ruamuthambi, Kirichwa, Ruarakaother, Athi",2004,4,9,09/04/2004,2004,5,11,11/05/2004,50,0,10000,2,,51345;51346;51350;51360;51368;51369;51371;51372;51373;51374;51377;51385;51386;51392, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1176,2121,1285,2006-0624-KEN,2006,624,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Garissa, Ijara, Wajir, Mandera districts (North Eastern province), Kilifi, Tana River, Kwale districts (Coast province), Moyale, Isiolo districts (Eastern province), Busia district (Western province), Turkana district (Rift Valley province), Kisumu district (Nyanza province)",-0.111715421,34.74104125,Torrential rain,,0,Km2,,2006,10,23,23/10/2006,2006,12,19,19/12/2006,114,0,723000,2,,51340;51341;51346;51348;51357;51361;51362;51363;51364;51369;51392;51396, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1178,2123,1886,2011-0423-KEN,2011,423,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kisumu town (Kisimu district, Nyanza province), Turkana district (Rift Valley province)",-0.111715421,34.74104125,Heavy rains,,20554,Km2,,2011,8,15,15/08/2011,2011,9,8,08/09/2011,8,0,4000,2,,51369;51392,Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1179,2124,1887,2011-0504-KEN,2011,504,FL-2011-000184,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Busia, Kakamega districts (Western province), Siaya, Kisumu, Rachuonyo, Central Kisii districts (Nyanza province), Tana River district (Coast province), Baringo, Keiyo, West Pokot, Samburu, Marakwet districts (Rift Valley province), Moyale, Marsabit, Isiolo districts (Eastern province), Wajir district (North Eastern province), Muranga district (Central province)",-0.111715421,34.74104125,Heavy raisn and storms,,9789,Km2,,2011,11,29,29/11/2011,2011,12,22,22/12/2011,25,0,91692,2,,51336;51346;51348;51352;51357;51364;51366;51369;51374;51375;51377;51381;51385;51389;51394;51396;51398, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1180,2125,1958,2012-0166-KEN,2012,166,,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Kitengela, Athi River areas (Machakos district, Eastern province), Ngong town (Kajiado district, Rift Valley province), Bura, Garsen, Bangale areas (Tana River district, Coast province), Homa Bay, Kisumu, Suba, Nyando, Rachuonyo, Migori districts (Nyanza province), Busia district (Western province), Thika district (Central province), Nakuru district (Rift Valley province), Malindi district (Coast province)",-0.111715421,34.74104125,Torrential rain,,12660,Km2,,2012,4,20,20/04/2012,2012,5,16,16/05/2012,73,0,280670,2,,51339;51343;51346;51350;51368;51369;51371;51373;51374;51376;51380;51386;51396, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
1181,2126,2045,2013-0123-KEN,2013,123,2013-0000038,Natural,Hydrological,Flood,Riverine flood,Kenya,KEN,Eastern Africa,"Naivasha town (Nakuru district, Rift Valley province), Turkana, West Pokot, Baringo, Marakwet, Keiyo districts (Rift Valley province), Kisumu district (Nyanza province), Muranga, Nyeri, Kiambu districts (Central province), Coast, Western provinces",-0.111715421,34.74104125,Heavy rains,,73170,Km2,Nzoia river,2013,3,10,10/03/2013,2013,4,30,30/04/2013,96,0,100020,1;2,51326;51332,51333;51336;51338;51369;51377;51381;51385;51386;51392;51394, Kisumu,20694,KEN,Kenya,KEN.17_1,Kisumu,,KEN.17.1_1,Kisumu Central,,,Constituency,Constituency,240,,"{""type"":""Polygon"",""coordinates"":[[[34.6676445,-0.18534584],[34.6676445,-0.04181822],[34.78627014,-0.04181822],[34.78627014,-0.18534584],[34.6676445,-0.18534584]]]}","{""type"":""Point"",""coordinates"":[34.7410412546229,-0.111715420539602]}",72309086.22,7182.473904,KEN,34.74104125,-0.111715421
